NOUN, ADJ, 
version, classic, This game is a full of nonsense. NC ruined the classic version of Lineage.
quests, repeated, Simply Out if date  Unstablity of servers    Meaninglessly repeated quests Only require a lot of money to play
period, long, I have played many NC's games for a long period of time but I couldnt even try to play Lineage ONE, because of its old fashined graphic, control and movement. But if you study and read all references during your playing, you can realize how lucky you are and see the REAL WORLD through this game. I will give my five stars out of five.
game, old, What did yall expect? It is an old game from twenty years ago brought to life as a mobile version.
version, mobile, What did yall expect? It is an old game from twenty years ago brought to life as a mobile version.
hype, much, It was so boring and there was so much hype for this game. I expected so much but the wait was long and it was not worth it.
창렬함까지, 특유의, 리니지가 모바일로 출시되었으나, 특유의 창렬함까지 같이 느낄수 잇엇다. 부사장이 주식이 왜 팔았는지 알 수있었으며 게임위에서도 엔씨의 주장이 거짓이라고 말햇다 이런 게임은 스토어에서 내려가야한다
days, much, I have waited this game for much days!!!! Butttttt! This game is really terrible! First quest does not pass!! I really do the mission perfectly! And much error during playing games! It s not good than I expected!
quest, First, I have waited this game for much days!!!! Butttttt! This game is really terrible! First quest does not pass!! I really do the mission perfectly! And much error during playing games! It s not good than I expected!
error, much, I have waited this game for much days!!!! Butttttt! This game is really terrible! First quest does not pass!! I really do the mission perfectly! And much error during playing games! It s not good than I expected!
game, horrible, horrible game. lots of lag, seriously low guality graphic, essencial cash items. very standard game of pay to win.
guality, low, horrible game. lots of lag, seriously low guality graphic, essencial cash items. very standard game of pay to win.
items, essencial, horrible game. lots of lag, seriously low guality graphic, essencial cash items. very standard game of pay to win.
game, standard, horrible game. lots of lag, seriously low guality graphic, essencial cash items. very standard game of pay to win.
아깝다, 3점이, 개판중에 이런개판이 있나 사전등록의미를 상실시켜 버리네 안타라스서버 1 캐릭생성 막아버리면 어쩌자는 거임? 기존에 사전등록자들을 우선적으고 캐릭생성 해주던가 생각 전혀안하고 게임만들었나보네. 20년전에 20년전에 초딩때 했던 추억으로 다른 서버 들어가서 플레이 해보니깐 겁나 재미없더라 안한다. 그래픽도 조금 업을 시키던가 스타크래프크 캐릭들만 그래픽 다시 살려서 나오듯이 디테일 다듬어서 올리던지 20년전 리니지에서 멈춰있는걸 모바일로 가져온거 뿐이 더되나. 망작이다. 평점 3점이 말해주네 3점도 아깝다
아깝다, 말해주네, 개판중에 이런개판이 있나 사전등록의미를 상실시켜 버리네 안타라스서버 1 캐릭생성 막아버리면 어쩌자는 거임? 기존에 사전등록자들을 우선적으고 캐릭생성 해주던가 생각 전혀안하고 게임만들었나보네. 20년전에 20년전에 초딩때 했던 추억으로 다른 서버 들어가서 플레이 해보니깐 겁나 재미없더라 안한다. 그래픽도 조금 업을 시키던가 스타크래프크 캐릭들만 그래픽 다시 살려서 나오듯이 디테일 다듬어서 올리던지 20년전 리니지에서 멈춰있는걸 모바일로 가져온거 뿐이 더되나. 망작이다. 평점 3점이 말해주네 3점도 아깝다
아깝다, 3점도, 개판중에 이런개판이 있나 사전등록의미를 상실시켜 버리네 안타라스서버 1 캐릭생성 막아버리면 어쩌자는 거임? 기존에 사전등록자들을 우선적으고 캐릭생성 해주던가 생각 전혀안하고 게임만들었나보네. 20년전에 20년전에 초딩때 했던 추억으로 다른 서버 들어가서 플레이 해보니깐 겁나 재미없더라 안한다. 그래픽도 조금 업을 시키던가 스타크래프크 캐릭들만 그래픽 다시 살려서 나오듯이 디테일 다듬어서 올리던지 20년전 리니지에서 멈춰있는걸 모바일로 가져온거 뿐이 더되나. 망작이다. 평점 3점이 말해주네 3점도 아깝다
game, Good, Good game
