NOUN, ADJ, 
games, worst, 
game, Great, 
translations, English, 
MMORPG, actual, 
events, more, 
characters, more, 
screen, black, 
game, paid, 
level, first, 
games, idle, 
game, Awesome, 
dialog, long, 
dialog, boring, 
phase, Next, 
time, long, 
reason, apparent, 
battle, specific, 
times, random, 
functionnality, nice, 
😍, awesome, 
tutorial, poor, 
tutorial, english, 
waster, good, 
dungeons, Daily, 
gold, more, 
equipment, -Healer, 
screen, black, 
sounds, unbearable, 
fun, Pretty, 
lots, fun, 
tutorial, Bad, 
thing, main, 
game, nice, 
take, good, 
simulation, take, 
game, partial, 
game, idle, 
stuff, easy, 
challenges, real, 
game, amazing, 
gear, new, 
feeling, Real, 
mechanics, bad, 
mechanics, bad, 
game, polished, 
labour, obvious, 
gameplay, Great, 
feature, slow, 
content, higher, 
etc, extra, 
lol, frustrating, 
problem, other, 
character, main, 
updates, future, 
seconds, last, 
game, Great, 
playing, much, 
game, Great, 
committal, non, 
tasks, certain, 
hours, certain, 
game, Great, 
info, more, 
game, Great, 
game, Amazing, 
game, 's, 
player, single, 
mmos, other, 
mmos, mobile, 
motion, slow, 
sound, echoing, 
update, latest, 
dungeon, heroic, 
heroes, same, 
game, awesome, 
dungeon, random, 
stages, many, 
drain, Huge, 
design, overall, 
problem, only, 
features, online, 
aspect, small, 
aspect, online, 
stuff, other, 
pages, other, 
tag, small, 
systems, new, 
app, Amazing, 
level, individual, 
group, new, 
one, last, 
days, raiding, 
members, other, 
character, main, 
link, weakest, 
game, Good, 
game, sized, 
game, Good, 
game, sized, 
game, Decent, 
time, good, 
difficulty, harder, 
game, good, 
way, only, 
size, smaller, 
battles, slower, 
tutorial, real, 
gem, hidden, 
work, good, 
hours, few, 
gem, hidden, 
annoyances, small, 
errors, grammatical, 
players, other, 
drops, best, 
squad, own, 
dungeons, special, 
limiter, pointless, 
level, actual, 
fun, Pretty, 
healers, other, 
game, great, 
function, full, 
trash, idle, 
game, own, 
tier, high, 
game, Awesome, 
things, few, 
inv, full, 
fun, super, 
start, rough, 
gem, wonderful, 
gem, little, 
games, best, 
echo, constant, 
concept, whole, 
concept, new, 
fan, heavy, 
days, super, 
lol, square, 
lol, soft, 
practice, past, 
floors, overall, 
floors, simple, 
fun, Pretty, 
simulation, amazing, 
healer, main, 
game, nice, 
game, nice, 
font, small, 
graphics, Great, 
lots, easy, 
developers, greedy, 
take, innovative, 
games, mobile, 
feeling, satisfying, 
content, current, 
concept, Good, 
memories, much, 
fun, Pretty, 
IAP, free, 
legs, short, 
issue, only, 
updates, constant, 
style, mmo, 
type, different, 
10min, first, 
change, clever, 
concept, cool, 
things, few, 
login, daily, 
game, Good, 
game, great, 
game, different, 
others, most, 
things, few, 
game, pure, 
mode, manual, 
teammate, first, 
upgrade, visual, 
job, half, 
job, decent, 
grind, little, 
moment, particular, 
mush, squashy, 
game, Great, 
gameplay, New, 
gameplay, kind, 
control, better, 
player, stupid, 
player, rude, 
hahaha, lol, 
implemention, fantastic, 
simulation, good, 
management, little, 
luck, good, 
idea, Clever, 
fun, super, 
implementation, fun, 
action, vital, 
dev, Great, 
game, cute, 
innovation, grest, 
things, many, 
things, different, 
things, good, 
play, idle, 
work, good, 
contents, more, 
experience, mmo, 
abilities, many, 
abilities, different, 
zones, more, 
