so, 3541
just, 3059
very, 2830
really, 2653
even, 1409
now, 1248
still, 1218
well, 1196
ever, 1124
too, 1076
only, 928
also, 912
then, 796
back, 724
much, 688
more, 650
far, 634
again, 620
pretty, 614
as, 592
always, 571
never, 491
definitely, 476
sometimes, 421
absolutely, 407
all, 364
however, 346
actually, 340
there, 334
already, 315
though, 289
yet, 281
here, 276
first, 266
long, 264
hard, 261
maybe, 258
overall, 248
almost, 241
highly, 220
most, 213
honestly, 200
at, 199
instead, 196
once, 191
out, 189
ago, 189
quite, 187
enough, 186
probably, 185
soon, 185
especially, 179
over, 173
anymore, 167
otherwise, 161
super, 160
else, 156
extremely, 152
fast, 149
literally, 148
kinda, 148
no, 147
totally, 145
finally, 142
completely, 141
right, 135
forward, 129
often, 129
simply, 129
easily, 127
before, 123
about, 118
away, 118
of, 112
constantly, 109
basically, 105
quickly, 105
rather, 102
truly, 98
perfectly, 97
kind, 94
around, 94
fine, 92
later, 91
twice, 90
way, 90
in, 88
properly, 85
unfortunately, 85
forever, 83
usually, 77
recently, 70
incredibly, 70
hopefully, 69
mostly, 67
seriously, 66
exactly, 65
matter, 61
online, 58
currently, 58
together, 57
randomly, 57
on, 56
either, 56
anyway, 56
accidentally, 54
that, 53
less, 53
smoothly, 53
fully, 52
sadly, 50
nearly, 50
everytime, 48
slightly, 47
beautifully, 47
anywhere, 46
off, 45
down, 43
barely, 43
surprisingly, 43
suddenly, 42
up, 42
next, 42
immediately, 41
eventually, 41
personally, 39
normally, 37
apart, 37
fairly, 37
through, 35
straight, 33
easy, 33
aside, 33
correctly, 31
clearly, 30
early, 30
thus, 30
awhile, 29
alone, 28
somehow, 28
amazingly, 28
manually, 28
frequently, 28
poorly, 28
possibly, 28
somewhat, 27
automatically, 27
obviously, 27
perhaps, 26
occasionally, 25
thoroughly, 25
flawlessly, 25
btw, 24
apparently, 24
whatsoever, 23
damn, 23
anytime, 23
genuinely, 23
regularly, 23
nowhere, 23
nonetheless, 22
instantly, 22
rarely, 21
badly, 21
entirely, 21
close, 21
initially, 20
generally, 20
visually, 19
sort, 19
originally, 19
directly, 19
sure, 19
ridiculously, 19
real, 19
insanely, 18
sometime, 18
everywhere, 18
previously, 17
asap, 17
regardless, 17
great, 17
mainly, 17
certainly, 17
indeed, 17
everyday, 16
least, 16
you, 16
relatively, 16
consistently, 16
ahead, 15
slowly, 15
nicely, 15
since, 14
overly, 14
hardly, 14
outside, 14
happily, 14
therefore, 13
greatly, 13
gladly, 13
particularly, 13
😊, 12
specifically, 12
anyways, 12
differently, 12
plain, 12
little, 12
likely, 12
strongly, 12
specially, 12
deeply, 12
daily, 11
relly, 11
rlly, 11
wise, 11
deceptively, 11
utterly, 11
practically, 11
slow, 11
definetly, 11
essentially, 11
strangely, 11
late, 10
😡, 10
terribly, 10
last, 10
any, 10
repeatedly, 10
near, 10
after, 10
endlessly, 10
😑, 10
elsewhere, 10
ultimately, 10
accidently, 9
seemingly, 9
wonderfully, 9
hence, 9
reload, 9
lastly, 9
aesthetically, 9
effectively, 9
somewhere, 9
brilliantly, 9
definately, 9
altogether, 9
legitimately, 9
above, 8
decently, 8
luckily, 8
someday, 8
truely, 8
kindly, 8
good, 8
unbelievably, 8
halfway, 8
permanently, 8
nowadays, 8
frustratingly, 8
behind, 7
lately, 7
equally, 7
secondly, 7
remotely, 7
surely, 7
officially, 7
alike, 7
course, 7
progressively, 7
significantly, 7
excellent, 7
higher, 7
heavily, 7
inside, 7
oddly, 7
emotionally, 7
atleast, 6
thx, 6
deep, 6
continuously, 6
backwards, 6
forth, 6
e.g., 6
second, 6
patiently, 6
exclusively, 6
af, 6
amazing, 6
thankfully, 6
afterwards, 6
typically, 6
gradually, 6
potentially, 6
actively, 6
painfully, 6
importantly, 6
casually, 6
versa, 6
horribly, 6
severely, 6
exceptionally, 6
arguably, 6
desperately, 6
ill, 5
unexpectedly, 5
purposely, 5
virtually, 5
absolutly, 5
nonstop, 5
by, 5
partially, 5
half, 5
individually, 5
pleasantly, 5
weirdly, 5
freely, 5
successfully, 5
doubt, 5
newly, 5
nevertheless, 5
eagerly, 5
safely, 5
nice, 4
rly, 4
annoyingly, 4
excellently, 4
fantastically, 4
firstly, 4
shortly, 4
frankly, 4
til, 4
os, 4
technically, 4
intentionally, 4
stupidly, 4
infinitely, 4
dearly, 4
increasingly, 4
